시군명,전기승용 22년6월,전기승용 21년,전기승용 20년,전기승용 19년,전기승용 18년,전기승용 17년,전기승용 16년,전기승용 15년까지,전기이륜 22년6월,전기이륜 21년,전기이륜 20년,전기이륜 19년,전기이륜 18년까지,전기화물 22년6월,전기화물 21년,전기화물 20년,전기버스 22년6월,전기버스 21년,전기버스 20년
목포,120,106,72,60,69,51,0,3,16,20,21,21,4,46,22,4,0,0,0
여수,215,258,175,233,96,45,20,6,45,130,127,72,20,113,152,70,0,0,0
순천,396,251,365,260,155,208,92,61,45,100,52,25,0,92,81,67,3,0,5
나주,72,202,206,290,183,131,503,11,55,150,99,32,50,62,80,40,0,0,4
광양,208,125,118,100,10,53,5,6,50,30,24,21,9,109,90,75,6,8,0
담양,47,80,12,13,13,7,1,4,23,20,53,0,0,56,50,11,0,0,4
곡성,20,40,5,5,5,4,0,1,9,20,21,5,0,21,50,10,0,0,0
구례,27,23,11,8,7,6,0,1,19,50,0,32,0,5,15,0,0,0,0
고흥,38,53,29,8,11,5,0,1,25,110,74,17,17,36,20,7,0,0,0
보성,27,36,10,5,1,2,0,1,9,20,24,21,10,10,13,0,0,0,0
화순,34,40,45,12,15,5,0,2,13,10,10,0,0,44,10,0,0,0,0
장흥,45,41,24,26,12,3,3,2,19,30,9,0,0,17,17,13,0,0,0
강진,22,27,10,8,5,1,0,2,6,15,2,0,0,17,20,0,0,0,0
해남,36,35,28,20,12,6,0,0,15,25,39,0,0,53,60,20,0,0,0
영암,34,101,35,25,20,6,0,3,11,20,15,0,0,48,30,11,0,0,0
무안,59,82,51,55,23,2,0,0,20,20,21,10,10,22,67,19,0,0,0
함평,22,60,8,5,0,1,1,1,20,40,20,0,3,19,25,3,0,0,0
영광,72,107,133,85,46,102,40,143,51,50,56,50,50,45,20,0,0,0,0
장성,45,33,30,9,22,6,0,2,3,5,0,3,0,15,70,22,0,0,0
완도,9,21,9,20,20,6,0,4,16,30,35,30,0,19,30,21,0,0,0
진도,18,18,8,5,4,0,0,0,8,20,15,0,0,9,21,4,0,0,0
신안,17,867,15,15,5,2,0,0,6,5,0,0,0,19,35,8,0,1,0
